part_id,supplier_id,description,unit_weight_kg,unit_volume_m3,part_length_m,part_width_m,part_height_m,unit_value_eur,criticality,damage_sensitivity,handling_class,stackable,returnable_eligible,line_family,bom_A,bom_B,bom_C,bom_D
P0183,S009,Synthetic automotive component 0183,0.9434,0.002584,0.2037,0.1785,0.071,4.51,medium,0.2087,manual,True,True,powertrain,1,1,1,1
P0184,S043,Synthetic automotive component 0184,1.9911,0.026436,0.636,0.3157,0.1317,2.72,medium,0.1916,manual,True,True,chassis,7,6,5,7
P0185,S042,Synthetic automotive component 0185,1.7259,0.001676,0.2901,0.1231,0.0469,38.29,medium,0.184,manual,True,True,chassis,0,0,0,1
P0186,S020,Synthetic automotive component 0186,9.3235,0.04647,0.7883,0.4405,0.1338,51.69,medium,0.2859,assisted,True,True,body,0,9,6,6
P0187,S034,Synthetic automotive component 0187,4.7776,0.043853,0.6692,0.4486,0.1461,14.45,medium,0.2896,manual,False,True,body,2,2,2,2
P0188,S014,Synthetic automotive component 0188,1.2493,0.00432,0.3419,0.1774,0.0712,147.87,high,0.2917,manual,True,True,chassis,1,1,1,1
P0189,S004,Synthetic automotive component 0189,1.9925,0.003933,0.3484,0.1922,0.0587,103.08,medium,0.3215,manual,True,True,interior,6,7,6,0
P0190,S056,Synthetic automotive component 0190,31.1802,0.099628,0.7506,0.5417,0.245,61.72,medium,0.0647,mechanical,True,True,interior,0,7,6,0
P0191,S009,Synthetic automotive component 0191,3.3983,0.007493,0.3804,0.2643,0.0745,19.0,medium,0.5154,manual,True,True,interior,0,1,0,0
P0192,S023,Synthetic automotive component 0192,1.4825,0.003148,0.2691,0.1634,0.0716,101.34,medium,0.3186,manual,True,True,electronics,7,5,6,7
P0193,S021,Synthetic automotive component 0193,0.6658,0.009772,0.3343,0.2754,0.1062,27.37,high,0.3648,manual,True,False,electronics,5,3,0,3
P0194,S028,Synthetic automotive component 0194,0.3253,0.00397,0.2252,0.2505,0.0704,1.71,medium,0.2465,manual,True,True,body,4,4,5,4
P0195,S000,Synthetic automotive component 0195,3.1717,0.047055,0.6703,0.3998,0.1756,2.06,high,0.2615,manual,True,True,electronics,1,1,1,1
P0196,S026,Synthetic automotive component 0196,1.3207,0.002155,0.2478,0.1427,0.0609,2.58,low,0.2498,manual,True,True,powertrain,13,11,9,14
P0197,S043,Synthetic automotive component 0197,1.628,0.005403,0.358,0.1945,0.0776,6.96,medium,0.3038,manual,True,True,body,2,2,0,2
P0198,S024,Synthetic automotive component 0198,2.5024,0.008756,0.4208,0.2078,0.1002,13.8,medium,0.186,manual,False,True,electronics,5,4,4,4
P0199,S011,Synthetic automotive component 0199,3.925,0.013135,0.4742,0.3118,0.0888,24.18,low,0.1062,manual,True,True,chassis,2,2,0,2
P0200,S043,Synthetic automotive component 0200,6.2815,0.044151,0.5128,0.4502,0.1912,17.0,high,0.1415,manual,True,True,electronics,1,1,1,0
P0201,S017,Synthetic automotive component 0201,2.5482,0.009257,0.4828,0.2394,0.0801,180.98,medium,0.2767,manual,True,True,thermal,4,0,4,4
P0202,S031,Synthetic automotive component 0202,1.5629,0.003057,0.2505,0.1573,0.0776,35.35,medium,0.3893,manual,False,True,chassis,4,3,4,3
P0203,S000,Synthetic automotive component 0203,19.7326,0.088239,0.8148,0.4926,0.2199,3.06,low,0.3707,assisted,False,True,powertrain,5,4,5,4
P0204,S055,Synthetic automotive component 0204,4.202,0.006591,0.3806,0.2065,0.0839,3.92,high,0.1641,manual,False,True,thermal,0,7,0,0
P0205,S010,Synthetic automotive component 0205,0.5615,0.007255,0.2775,0.33,0.0792,4.86,low,0.1834,manual,True,True,thermal,9,7,0,8
P0206,S045,Synthetic automotive component 0206,3.66,0.039194,0.7128,0.3685,0.1492,14.7,medium,0.8304,manual,False,True,body,1,0,1,1
P0207,S000,Synthetic automotive component 0207,3.3388,0.004848,0.3389,0.2228,0.0642,10.52,critical,0.51,manual,True,True,thermal,6,5,5,7
P0208,S009,Synthetic automotive component 0208,10.1371,0.039462,0.6736,0.4469,0.1311,5.91,medium,0.1704,assisted,True,True,thermal,2,2,0,2
P0209,S012,Synthetic automotive component 0209,0.4499,0.002903,0.32,0.1512,0.06,18.67,medium,0.2183,manual,True,True,chassis,1,1,1,1
P0210,S044,Synthetic automotive component 0210,1.4157,0.01446,0.4284,0.2518,0.1341,27.66,medium,0.1315,manual,True,True,electronics,1,0,1,1
P0211,S017,Synthetic automotive component 0211,4.6994,0.016129,0.4571,0.2717,0.1299,85.57,high,0.1187,manual,False,True,chassis,0,0,0,2
P0212,S005,Synthetic automotive component 0212,1.2208,0.003354,0.2405,0.1894,0.0736,6.13,medium,0.74,manual,True,True,thermal,1,1,1,0
P0213,S036,Synthetic automotive component 0213,2.8666,0.043787,0.6953,0.4519,0.1394,2.58,medium,0.4757,manual,True,True,interior,2,2,2,2
P0214,S034,Synthetic automotive component 0214,1.8046,0.002984,0.2135,0.1622,0.0861,7.85,critical,0.243,manual,True,False,body,11,12,12,0
P0215,S024,Synthetic automotive component 0215,0.9383,0.001942,0.2635,0.1487,0.0496,0.56,low,0.079,manual,True,False,body,12,12,9,9
P0216,S021,Synthetic automotive component 0216,0.8199,0.002612,0.2901,0.1548,0.0582,2.68,high,0.2837,manual,True,True,body,0,0,2,2
P0217,S041,Synthetic automotive component 0217,5.567,0.008445,0.4007,0.2221,0.0949,2.73,high,0.2734,manual,True,True,thermal,1,0,0,1
P0218,S056,Synthetic automotive component 0218,2.4727,0.002884,0.2148,0.2097,0.064,1.79,low,0.4368,manual,True,True,electronics,1,1,1,1
P0219,S025,Synthetic automotive component 0219,0.5864,0.003172,0.2642,0.1493,0.0804,22.03,high,0.1475,manual,True,True,interior,2,2,2,2
P0220,S027,Synthetic automotive component 0220,2.8675,0.002889,0.2732,0.1945,0.0544,18.11,medium,0.1036,manual,True,True,interior,10,12,14,11
P0221,S055,Synthetic automotive component 0221,1.483,0.004475,0.3596,0.1864,0.0668,26.23,medium,0.3222,manual,True,True,chassis,11,10,11,10
P0222,S024,Synthetic automotive component 0222,3.5624,0.009279,0.4425,0.274,0.0765,5.39,medium,0.316,manual,True,True,powertrain,1,1,1,1
P0223,S043,Synthetic automotive component 0223,1.564,0.018504,0.4638,0.3632,0.1098,3.63,high,0.3746,manual,True,True,body,1,0,0,0
P0224,S059,Synthetic automotive component 0224,1.24,0.003996,0.3129,0.1854,0.0689,6.23,low,0.0977,manual,True,True,interior,4,4,5,3
P0225,S028,Synthetic automotive component 0225,5.1782,0.004427,0.2895,0.2152,0.0711,9.93,medium,0.2689,manual,True,False,interior,0,1,1,0
P0226,S040,Synthetic automotive component 0226,1.2733,0.006024,0.3384,0.191,0.0932,0.72,high,0.6954,manual,True,True,chassis,0,0,0,1
P0227,S012,Synthetic automotive component 0227,1.5671,0.007608,0.3556,0.2497,0.0857,12.88,low,0.673,manual,True,True,interior,0,0,7,7
P0228,S043,Synthetic automotive component 0228,3.8855,0.009365,0.3451,0.306,0.0887,5.18,low,0.214,manual,False,True,electronics,2,2,2,2
P0229,S057,Synthetic automotive component 0229,0.8564,0.012369,0.5361,0.2493,0.0925,1.23,high,0.3321,manual,True,True,powertrain,0,1,1,1
P0230,S049,Synthetic automotive component 0230,14.0347,0.034691,0.7123,0.3705,0.1314,8.48,medium,0.0489,assisted,True,True,powertrain,0,0,2,2
P0231,S051,Synthetic automotive component 0231,1.2921,0.003337,0.2961,0.1954,0.0577,0.89,medium,0.1627,manual,True,True,electronics,0,2,2,2
P0232,S021,Synthetic automotive component 0232,1.3646,0.005521,0.2401,0.266,0.0864,6.91,critical,0.0757,manual,True,True,body,2,2,2,0
P0233,S040,Synthetic automotive component 0233,14.7719,0.106893,0.8954,0.6745,0.177,175.56,medium,0.0767,assisted,True,True,thermal,6,6,7,5
P0234,S033,Synthetic automotive component 0234,0.4372,0.000661,0.1681,0.1102,0.0357,160.74,low,0.1559,manual,True,True,powertrain,2,2,2,2
P0235,S054,Synthetic automotive component 0235,8.0169,0.010026,0.4464,0.2569,0.0874,2.33,medium,0.3827,assisted,True,False,electronics,2,2,2,2
P0236,S009,Synthetic automotive component 0236,10.9678,0.128829,1.0089,0.6093,0.2096,5.5,high,0.1526,assisted,True,True,electronics,5,5,5,4
P0237,S032,Synthetic automotive component 0237,3.3822,0.007564,0.3457,0.2561,0.0854,22.75,high,0.0676,manual,True,True,interior,1,0,1,1
P0238,S046,Synthetic automotive component 0238,3.2604,0.006755,0.3384,0.2477,0.0806,25.48,low,0.4356,manual,True,True,powertrain,0,2,2,2
P0239,S054,Synthetic automotive component 0239,0.2366,0.003702,0.24,0.2274,0.0678,34.46,low,0.4318,manual,True,True,body,4,0,0,0
P0240,S026,Synthetic automotive component 0240,6.5239,0.089686,0.6061,0.5804,0.2549,10.15,medium,0.3097,assisted,True,True,powertrain,1,0,1,1
P0241,S021,Synthetic automotive component 0241,3.4782,0.032507,0.7089,0.3378,0.1358,5.54,medium,0.2351,manual,False,False,chassis,0,14,15,0
P0242,S023,Synthetic automotive component 0242,6.7699,0.021142,0.4215,0.2896,0.1732,35.6,high,0.0746,manual,True,True,interior,4,0,5,4
P0243,S014,Synthetic automotive component 0243,3.2526,0.013754,0.4079,0.3361,0.1003,45.21,low,0.3595,manual,True,False,chassis,1,0,1,1
P0244,S001,Synthetic automotive component 0244,13.0127,0.070728,0.5791,0.5913,0.2066,6.22,medium,0.1703,assisted,True,True,body,4,3,5,3
P0245,S045,Synthetic automotive component 0245,3.8774,0.0329,0.7015,0.3533,0.1328,6.76,low,0.4557,manual,True,True,body,0,0,0,5
P0246,S000,Synthetic automotive component 0246,0.392,0.000799,0.1939,0.1182,0.0349,72.37,high,0.4263,manual,True,True,interior,2,0,2,0
P0247,S043,Synthetic automotive component 0247,14.0917,0.121059,0.9784,0.6228,0.1987,91.17,high,0.4958,assisted,False,True,body,0,0,1,1
P0248,S039,Synthetic automotive component 0248,5.3221,0.01793,0.3689,0.3068,0.1584,11.87,high,0.0967,manual,True,True,body,11,11,11,0
P0249,S033,Synthetic automotive component 0249,1.6673,0.010517,0.3712,0.312,0.0908,27.26,low,0.1071,manual,False,True,electronics,0,0,1,0
P0250,S030,Synthetic automotive component 0250,2.9992,0.010675,0.4116,0.2607,0.0995,22.71,critical,0.3991,manual,True,True,body,1,1,1,0
P0251,S027,Synthetic automotive component 0251,6.2084,0.05359,0.9352,0.3897,0.1471,32.1,medium,0.3868,manual,True,True,electronics,2,2,2,2
P0252,S003,Synthetic automotive component 0252,13.9131,0.275621,1.1616,0.8971,0.2645,372.76,low,0.3415,mechanical,False,True,chassis,0,2,0,0
P0253,S028,Synthetic automotive component 0253,3.6197,0.014558,0.3564,0.285,0.1433,4.97,medium,0.3786,manual,True,True,body,2,2,0,2
P0254,S055,Synthetic automotive component 0254,5.5714,0.023708,0.5901,0.3805,0.1056,28.31,medium,0.3537,manual,True,True,thermal,1,1,1,1
P0255,S043,Synthetic automotive component 0255,4.3684,0.023124,0.461,0.3204,0.1566,164.75,medium,0.5375,manual,True,True,electronics,2,2,2,2
P0256,S031,Synthetic automotive component 0256,1.6846,0.003176,0.3483,0.1558,0.0585,24.88,medium,0.3535,manual,True,True,thermal,2,0,2,2
P0257,S034,Synthetic automotive component 0257,6.0116,0.08816,0.8813,0.5876,0.1703,5.96,low,0.3059,assisted,True,True,chassis,2,2,2,2
P0258,S030,Synthetic automotive component 0258,0.994,0.005819,0.3884,0.2138,0.0701,11.17,medium,0.1068,manual,True,True,thermal,2,0,2,2
P0259,S003,Synthetic automotive component 0259,6.1666,0.027824,0.5175,0.4071,0.1321,22.66,high,0.3901,manual,True,True,powertrain,13,0,13,0
P0260,S059,Synthetic automotive component 0260,0.4218,0.002439,0.2322,0.1853,0.0567,19.76,low,0.1694,manual,True,True,chassis,4,0,4,4
P0261,S003,Synthetic automotive component 0261,3.3692,0.033079,0.5904,0.3305,0.1695,195.07,medium,0.2837,manual,False,True,thermal,5,7,5,6
P0262,S032,Synthetic automotive component 0262,0.7043,0.004331,0.261,0.2464,0.0673,11.62,medium,0.3139,manual,True,False,electronics,4,4,5,5
P0263,S025,Synthetic automotive component 0263,1.8935,0.009164,0.4998,0.2323,0.079,5.79,low,0.1312,manual,True,True,chassis,0,1,1,1
P0264,S037,Synthetic automotive component 0264,0.2797,0.001067,0.2147,0.1306,0.0381,20.44,medium,0.339,manual,False,True,interior,10,11,0,13
P0265,S045,Synthetic automotive component 0265,1.091,0.003478,0.2356,0.1923,0.0767,11.23,medium,0.0621,manual,True,True,interior,2,2,2,0
P0266,S016,Synthetic automotive component 0266,0.2261,0.000696,0.1591,0.1027,0.0426,8.59,medium,0.158,manual,True,True,electronics,2,2,2,0
P0267,S025,Synthetic automotive component 0267,0.3225,0.000718,0.1708,0.1141,0.0369,3.34,low,0.1815,manual,True,False,body,2,2,2,2
P0268,S027,Synthetic automotive component 0268,24.8352,0.119784,1.0529,0.5357,0.2124,6.11,medium,0.4943,assisted,True,True,electronics,1,1,1,1
P0269,S023,Synthetic automotive component 0269,1.8342,0.005021,0.2895,0.263,0.066,113.08,medium,0.1943,manual,True,True,chassis,5,4,4,0
P0270,S009,Synthetic automotive component 0270,1.0952,0.00246,0.2653,0.1725,0.0538,9.74,medium,0.0996,manual,True,True,chassis,2,2,2,2
P0271,S040,Synthetic automotive component 0271,6.0832,0.010549,0.4876,0.2643,0.0819,35.89,medium,0.3728,manual,True,True,interior,14,15,14,0
P0272,S000,Synthetic automotive component 0272,1.2918,0.009263,0.2936,0.318,0.0992,71.72,high,0.2189,manual,True,True,interior,2,2,2,2
P0273,S012,Synthetic automotive component 0273,3.3918,0.022804,0.5573,0.3389,0.1207,6.15,critical,0.3724,manual,True,True,electronics,1,1,1,1
P0274,S045,Synthetic automotive component 0274,5.1641,0.042017,0.4826,0.5844,0.149,149.03,medium,0.2011,manual,True,True,chassis,2,2,2,2
P0275,S026,Synthetic automotive component 0275,9.7604,0.10775,0.7964,0.5715,0.2367,27.25,medium,0.2157,assisted,True,True,powertrain,1,1,1,1
P0276,S023,Synthetic automotive component 0276,5.1221,0.028047,0.5536,0.3396,0.1492,38.99,medium,0.4371,manual,True,True,interior,1,0,1,1
P0277,S018,Synthetic automotive component 0277,2.1265,0.012646,0.4432,0.3212,0.0888,2.68,high,0.2955,manual,True,True,powertrain,1,0,1,1
P0278,S025,Synthetic automotive component 0278,5.415,0.026403,0.5658,0.356,0.1311,111.62,medium,0.4316,manual,True,False,interior,1,1,1,1
P0279,S053,Synthetic automotive component 0279,15.7641,0.113293,1.0108,0.512,0.2189,14.41,low,0.2535,assisted,False,True,interior,0,0,5,4
P0280,S016,Synthetic automotive component 0280,5.7014,0.080448,0.7659,0.5198,0.2021,37.37,medium,0.224,assisted,True,True,thermal,10,13,10,9
P0281,S054,Synthetic automotive component 0281,1.1127,0.012668,0.5353,0.2398,0.0987,17.07,medium,0.6161,manual,True,False,chassis,13,12,12,14
P0282,S004,Synthetic automotive component 0282,6.8073,0.036159,0.7735,0.3487,0.1341,141.79,medium,0.3626,manual,False,True,chassis,1,1,1,1
P0283,S007,Synthetic automotive component 0283,3.0788,0.007483,0.3324,0.2881,0.0782,6.54,medium,0.351,manual,True,False,body,0,2,2,2
P0284,S055,Synthetic automotive component 0284,3.0485,0.013885,0.4435,0.28,0.1118,17.67,critical,0.3378,manual,True,True,chassis,1,1,1,0
P0285,S050,Synthetic automotive component 0285,1.4732,0.009219,0.3347,0.2914,0.0945,4.65,low,0.3683,manual,True,True,body,0,0,5,6
P0286,S023,Synthetic automotive component 0286,0.4677,0.004086,0.3512,0.1882,0.0618,15.95,low,0.1501,manual,True,True,thermal,1,1,1,1
P0287,S035,Synthetic automotive component 0287,3.13,0.008568,0.347,0.2546,0.097,232.15,medium,0.4156,manual,True,True,powertrain,0,1,1,1
P0288,S042,Synthetic automotive component 0288,0.6892,0.002982,0.3019,0.1732,0.057,8.18,low,0.1142,manual,True,True,chassis,5,4,5,0
P0289,S058,Synthetic automotive component 0289,6.5459,0.017744,0.5151,0.2806,0.1228,3.58,medium,0.3407,manual,True,True,interior,1,1,0,1
P0290,S032,Synthetic automotive component 0290,3.0879,0.015181,0.5811,0.28,0.0933,29.04,low,0.4155,manual,True,True,body,8,8,0,6
P0291,S048,Synthetic automotive component 0291,0.7892,0.006035,0.2873,0.264,0.0796,52.38,low,0.3114,manual,True,True,interior,2,2,2,2
P0292,S009,Synthetic automotive component 0292,2.7828,0.018326,0.6252,0.2911,0.1007,78.06,medium,0.4661,manual,True,True,body,5,6,0,0
P0293,S058,Synthetic automotive component 0293,0.6378,0.001735,0.1642,0.1284,0.0823,13.13,high,0.07,manual,True,True,chassis,6,9,10,9
P0294,S044,Synthetic automotive component 0294,2.2273,0.010875,0.3541,0.2555,0.1202,1.91,medium,0.2365,manual,True,True,body,1,1,1,1
P0295,S042,Synthetic automotive component 0295,1.9307,0.003117,0.295,0.1741,0.0607,36.62,low,0.3806,manual,True,True,electronics,2,2,2,2
P0296,S054,Synthetic automotive component 0296,0.7898,0.006756,0.3621,0.2304,0.081,11.03,medium,0.4107,manual,True,True,chassis,0,1,1,1
P0297,S042,Synthetic automotive component 0297,2.4192,0.016741,0.5273,0.3045,0.1043,52.08,medium,0.5799,manual,True,True,electronics,0,0,0,1
P0298,S058,Synthetic automotive component 0298,1.9861,0.005646,0.3675,0.1873,0.082,5.17,medium,0.2494,manual,True,True,powertrain,1,0,1,1
P0299,S023,Synthetic automotive component 0299,1.6585,0.009503,0.4716,0.2587,0.0779,16.78,low,0.1453,manual,True,True,electronics,1,1,0,1
P0300,S032,Synthetic automotive component 0300,0.818,0.004324,0.3669,0.1933,0.061,6.57,medium,0.2277,manual,True,True,powertrain,1,1,1,1
P0301,S049,Synthetic automotive component 0301,1.5869,0.007674,0.2823,0.2318,0.1173,20.57,medium,0.2016,manual,True,True,thermal,0,4,5,4
P0302,S056,Synthetic automotive component 0302,1.9792,0.017807,0.4584,0.3258,0.1192,25.95,high,0.3741,manual,True,True,interior,2,2,2,2
P0303,S043,Synthetic automotive component 0303,9.2084,0.055892,0.604,0.4714,0.1963,15.89,high,0.3665,assisted,False,True,electronics,1,1,1,1
P0304,S030,Synthetic automotive component 0304,0.9129,0.001326,0.1652,0.179,0.0449,12.77,low,0.5363,manual,True,True,powertrain,0,1,1,1
P0305,S034,Synthetic automotive component 0305,5.7462,0.026522,0.4676,0.3797,0.1494,126.6,low,0.3769,manual,False,True,electronics,0,2,2,2
P0306,S027,Synthetic automotive component 0306,10.2136,0.069386,0.9367,0.4561,0.1624,4.4,medium,0.0733,assisted,True,False,powertrain,1,1,1,1
P0307,S016,Synthetic automotive component 0307,3.9231,0.010517,0.2888,0.2703,0.1347,3.08,critical,0.1286,manual,True,False,body,0,0,1,0
P0308,S030,Synthetic automotive component 0308,6.2472,0.050785,0.8572,0.3984,0.1487,17.66,medium,0.2006,manual,True,False,chassis,0,2,0,2
P0309,S016,Synthetic automotive component 0309,1.2741,0.007434,0.3356,0.2135,0.1037,34.45,medium,0.2316,manual,True,False,electronics,11,14,14,14
P0310,S032,Synthetic automotive component 0310,2.4825,0.006129,0.2639,0.284,0.0818,2.85,medium,0.3536,manual,True,True,powertrain,0,1,0,1
P0311,S029,Synthetic automotive component 0311,11.1027,0.058297,0.7191,0.5258,0.1542,7.27,medium,0.442,assisted,True,True,chassis,8,10,0,6
P0312,S025,Synthetic automotive component 0312,6.2625,0.031149,0.6593,0.3266,0.1447,11.79,medium,0.4571,manual,True,True,thermal,11,15,15,10
P0313,S021,Synthetic automotive component 0313,0.1822,0.00183,0.2858,0.1317,0.0486,8.32,medium,0.2232,manual,True,True,body,0,1,0,1
P0314,S044,Synthetic automotive component 0314,9.6847,0.036918,0.6845,0.4421,0.122,31.27,medium,0.4609,assisted,True,True,powertrain,3,5,4,3
P0315,S029,Synthetic automotive component 0315,4.2027,0.021842,0.4338,0.4075,0.1235,38.83,medium,0.1227,manual,True,True,chassis,14,12,0,13
P0316,S010,Synthetic automotive component 0316,1.8927,0.066016,0.8034,0.5303,0.1549,756.82,medium,0.3479,assisted,True,False,electronics,1,1,0,1
P0317,S023,Synthetic automotive component 0317,6.9452,0.086452,0.912,0.4458,0.2126,59.41,low,0.3948,assisted,True,True,electronics,2,2,2,2
P0318,S040,Synthetic automotive component 0318,3.2188,0.008817,0.3907,0.2726,0.0828,120.28,low,0.1796,manual,True,True,powertrain,1,0,1,1
P0319,S053,Synthetic automotive component 0319,3.6022,0.041436,0.6403,0.4514,0.1433,3.19,low,0.5187,manual,True,True,powertrain,0,0,0,12
P0320,S020,Synthetic automotive component 0320,6.6621,0.037214,0.7597,0.3814,0.1284,6.33,low,0.3995,manual,True,True,interior,0,0,1,1
P0321,S048,Synthetic automotive component 0321,1.1351,0.004089,0.2901,0.2276,0.0619,21.53,high,0.3333,manual,False,True,body,2,2,2,2
P0322,S018,Synthetic automotive component 0322,2.4767,0.008341,0.3837,0.244,0.0891,12.22,low,0.2814,manual,True,False,powertrain,1,1,1,1
P0323,S025,Synthetic automotive component 0323,1.3671,0.002117,0.308,0.1301,0.0528,12.67,medium,0.2142,manual,True,False,chassis,0,2,2,0
P0324,S048,Synthetic automotive component 0324,21.6152,0.056758,0.6998,0.4506,0.18,8.53,low,0.3042,assisted,True,True,electronics,1,1,1,1
P0325,S040,Synthetic automotive component 0325,0.8653,0.010538,0.3852,0.2963,0.0923,3.58,medium,0.5056,manual,True,True,chassis,1,1,1,1
P0326,S035,Synthetic automotive component 0326,2.0874,0.010612,0.3634,0.3241,0.0901,23.42,low,0.0562,manual,False,True,powertrain,1,0,1,1
P0327,S045,Synthetic automotive component 0327,4.5099,0.010293,0.4313,0.2779,0.0859,6.82,medium,0.4816,manual,True,True,interior,3,0,3,4
P0328,S045,Synthetic automotive component 0328,2.2211,0.012671,0.4905,0.2878,0.0898,17.78,low,0.4182,manual,True,False,chassis,1,1,1,1
P0329,S058,Synthetic automotive component 0329,4.5375,0.018043,0.6357,0.2659,0.1067,7.58,medium,0.2282,manual,True,True,interior,0,0,4,0
P0330,S048,Synthetic automotive component 0330,5.0277,0.054781,0.6852,0.4344,0.1841,29.05,medium,0.2133,manual,True,True,thermal,1,0,1,1
P0331,S020,Synthetic automotive component 0331,18.7341,0.149867,1.0797,0.5881,0.236,26.82,high,0.3001,assisted,True,True,thermal,8,7,0,7
P0332,S025,Synthetic automotive component 0332,3.9469,0.00812,0.4131,0.2234,0.088,4.55,medium,0.3231,manual,True,True,powertrain,0,0,7,0
P0333,S045,Synthetic automotive component 0333,1.7384,0.042681,0.7789,0.3902,0.1404,7.02,low,0.2333,manual,True,True,thermal,12,15,0,9
P0334,S027,Synthetic automotive component 0334,5.0548,0.016365,0.466,0.3277,0.1072,2.48,critical,0.5041,manual,True,True,interior,2,2,0,2
P0335,S009,Synthetic automotive component 0335,4.613,0.035219,0.6258,0.3588,0.1568,55.65,low,0.0262,manual,True,True,chassis,4,4,3,4
P0336,S023,Synthetic automotive component 0336,5.6215,0.010773,0.4604,0.2321,0.1008,3.84,high,0.0394,manual,True,True,thermal,1,1,1,1
P0337,S009,Synthetic automotive component 0337,2.7537,0.01036,0.3021,0.2996,0.1145,160.99,medium,0.0836,manual,True,True,thermal,14,15,11,13
P0338,S044,Synthetic automotive component 0338,11.7455,0.029173,0.6497,0.3953,0.1136,16.97,high,0.3917,assisted,True,True,interior,2,2,2,2
P0339,S007,Synthetic automotive component 0339,8.2918,0.031442,0.441,0.5115,0.1394,37.0,high,0.2762,assisted,False,True,electronics,0,1,1,1
P0340,S023,Synthetic automotive component 0340,0.9281,0.004231,0.3304,0.1913,0.0669,1.87,medium,0.4878,manual,True,True,thermal,4,4,5,4
P0341,S021,Synthetic automotive component 0341,1.1407,0.003227,0.3023,0.1568,0.0681,52.61,low,0.3878,manual,True,True,body,6,7,5,5
P0342,S056,Synthetic automotive component 0342,1.0943,0.008874,0.3562,0.3061,0.0814,74.0,medium,0.1439,manual,True,True,powertrain,0,0,4,3
P0343,S007,Synthetic automotive component 0343,2.027,0.026028,0.6075,0.36,0.119,30.83,medium,0.2448,manual,False,True,body,2,2,0,2
P0344,S024,Synthetic automotive component 0344,9.323,0.140481,0.994,0.5361,0.2636,42.96,medium,0.1787,assisted,True,False,powertrain,0,2,2,2
P0345,S031,Synthetic automotive component 0345,3.845,0.025136,0.5801,0.3714,0.1167,33.14,medium,0.4841,manual,False,True,chassis,2,2,2,2
P0346,S016,Synthetic automotive component 0346,10.3066,0.08686,0.9975,0.5309,0.164,1.71,medium,0.3495,assisted,True,True,thermal,4,3,0,0
P0347,S014,Synthetic automotive component 0347,1.3821,0.002403,0.3144,0.1456,0.0525,7.06,high,0.0735,manual,True,True,chassis,5,4,4,5
P0348,S007,Synthetic automotive component 0348,5.7212,0.044551,0.6672,0.4919,0.1358,12.58,medium,0.2028,manual,True,True,thermal,2,2,2,2
P0349,S009,Synthetic automotive component 0349,0.6012,0.00385,0.3695,0.1759,0.0592,7.59,low,0.4331,manual,True,True,chassis,5,3,0,0
P0350,S012,Synthetic automotive component 0350,14.9852,0.083431,0.8434,0.5817,0.17,40.25,medium,0.2255,assisted,True,True,thermal,0,0,2,2
P0351,S021,Synthetic automotive component 0351,3.1245,0.02251,0.4797,0.3108,0.151,19.23,medium,0.5098,manual,False,True,chassis,0,0,1,0
P0352,S000,Synthetic automotive component 0352,18.929,0.062193,0.635,0.44,0.2226,28.59,medium,0.1766,assisted,True,True,thermal,0,1,1,1
P0353,S054,Synthetic automotive component 0353,5.4139,0.026286,0.5681,0.3825,0.121,4.44,medium,0.5198,manual,True,True,electronics,1,1,1,1
P0354,S000,Synthetic automotive component 0354,3.1608,0.008478,0.3875,0.2445,0.0895,44.05,medium,0.149,manual,True,True,powertrain,1,0,0,1
P0355,S039,Synthetic automotive component 0355,10.5341,0.045867,0.5687,0.5709,0.1413,64.49,medium,0.2432,assisted,False,True,thermal,1,1,0,0
P0356,S021,Synthetic automotive component 0356,1.2426,0.00378,0.3096,0.1997,0.0611,2.49,medium,0.1179,manual,True,True,chassis,2,2,2,2
P0357,S020,Synthetic automotive component 0357,0.9812,0.004776,0.3082,0.188,0.0824,15.28,medium,0.1158,manual,False,True,electronics,2,2,2,2
P0358,S019,Synthetic automotive component 0358,12.749,0.038592,0.5328,0.3705,0.1955,1.46,medium,0.1167,assisted,True,True,body,0,1,0,1
P0359,S035,Synthetic automotive component 0359,1.6804,0.004916,0.2668,0.179,0.103,33.02,low,0.3316,manual,False,True,powertrain,1,0,0,1
P0360,S001,Synthetic automotive component 0360,1.6507,0.010592,0.3681,0.2934,0.0981,8.42,low,0.4037,manual,True,True,electronics,1,0,0,1
P0361,S036,Synthetic automotive component 0361,2.5933,0.009525,0.4478,0.2383,0.0893,9.75,critical,0.2496,manual,True,True,chassis,1,1,1,0
P0362,S014,Synthetic automotive component 0362,9.6982,0.034674,0.7277,0.345,0.1381,3.92,medium,0.3509,assisted,True,True,body,1,1,0,0
P0363,S056,Synthetic automotive component 0363,1.4143,0.005735,0.3464,0.1923,0.0861,61.98,medium,0.1462,manual,False,True,chassis,0,7,5,5
P0364,S024,Synthetic automotive component 0364,0.7294,0.00312,0.3089,0.1816,0.0556,36.28,medium,0.0904,manual,True,True,thermal,5,3,5,5
P0365,S027,Synthetic automotive component 0365,7.4865,0.091172,0.7419,0.6646,0.1849,69.44,high,0.3787,assisted,True,True,chassis,2,0,2,2
P0366,S019,Synthetic automotive component 0366,5.5848,0.030863,0.5828,0.3492,0.1517,10.62,high,0.2998,manual,True,True,thermal,7,9,7,9
P0367,S036,Synthetic automotive component 0367,1.696,0.013144,0.4015,0.2971,0.1102,85.43,low,0.3267,manual,True,True,interior,1,1,1,1
