part_id,packaging_id,containers_per_day,loop_days,minimum_theoretical_fleet,operational_fleet,safety_allowance_units,container_asset_eur
P0503,PK02,27.75525114155251,3.2,89,109,20,20165.0
P0504,PK03,13.800913242009132,9.64,134,153,19,22950.0
P0505,PK01,289.0821917808219,5.54,1602,1871,269,224520.0
P0506,PK03,10.342123287671233,5.58,58,68,10,10200.0
P0507,PK02,52.10319634703197,5.38,281,329,48,60865.0
P0508,PK06,1.5852054794520547,9.82,16,19,3,23750.0
P0509,PK03,6.961643835616439,3.64,26,32,6,4800.0
P0510,PK03,27.55068493150685,4.9,135,159,24,23850.0
P0511,PK03,50.35342465753425,9.64,486,554,68,83100.0
P0512,PK01,54.487671232876714,4.54,248,294,46,35280.0
P0513,PK06,20.755479452054793,9.82,204,233,29,291250.0
P0514,PK03,27.560730593607307,3.1799999999999997,88,108,20,16200.0
P0515,PK06,6.240068493150685,3.2,20,25,5,31250.0
P0517,PK01,35.172602739726024,9.64,340,388,48,46560.0
P0518,PK03,105.47671232876712,5.54,585,684,99,102600.0
P0519,PK02,35.176712328767124,8.5,300,344,44,63640.0
P0520,PK02,0.8756164383561643,6.12,6,7,1,1295.0
P0521,PK03,63.793150684931504,7.44,475,547,72,82050.0
P0522,PK06,39.75013698630137,8.219999999999999,327,375,48,468750.0
P0524,PK03,0.5799847792998478,4.12,3,4,1,600.0
P0525,PK03,25.594520547945205,3.02,78,96,18,14400.0
P0526,PK03,20.6,4.859999999999999,101,119,18,17850.0
P0527,PK03,82.7013698630137,3.56,295,356,61,53400.0
P0528,PK03,30.106849315068494,8.66,261,299,38,44850.0
P0529,PK06,5.425925925925926,8.82,48,55,7,68750.0
P0530,PK06,8.24931506849315,9.64,80,92,12,115000.0
P0531,PK01,76.1972602739726,5.84,445,519,74,62280.0
P0532,PK03,50.17876712328767,5.34,268,314,46,47100.0
P0533,PK03,7.536986301369862,7.24,55,64,9,9600.0
P0535,PK01,67.9013698630137,4.859999999999999,331,390,59,46800.0
P0536,PK01,41.49589041095891,9.64,401,457,56,54840.0
P0537,PK03,80.6027397260274,4.96,400,471,71,70650.0
P0538,PK03,8.808219178082192,4.96,44,52,8,7800.0
P0539,PK03,24.6986301369863,7.98,198,228,30,34200.0
P0540,PK02,10.344520547945205,9.219999999999999,96,110,14,20350.0
P0541,PK01,199.47671232876712,9.64,1923,2191,268,262920.0
P0542,PK03,3.9771689497716896,6.08,25,29,4,4350.0
P0543,PK03,27.106849315068494,8.48,230,264,34,39600.0
P0544,PK03,145.53698630136986,8.66,1261,1442,181,216300.0
P0545,PK02,92.87397260273973,10.4,966,1098,132,203130.0
P0546,PK02,61.83744292237443,10.42,645,733,88,135605.0
P0547,PK03,21.961301369863012,9.64,212,242,30,36300.0
P0549,PK02,170.8835616438356,9.64,1648,1877,229,347245.0
P0550,PK02,42.536986301369865,4.54,194,230,36,42550.0
P0551,PK03,80.80639269406393,5.34,432,506,74,75900.0
P0552,PK03,70.00821917808219,9.64,675,769,94,115350.0
P0553,PK03,20.63972602739726,4.9,102,120,18,18000.0
P0554,PK03,41.33287671232877,3.64,151,182,31,27300.0
P0555,PK06,16.547671232876713,6.12,102,119,17,148750.0
P0556,PK03,245.41643835616438,6.12,1502,1745,243,261750.0
P0557,PK01,20.915068493150685,3.02,64,79,15,9480.0
P0558,PK03,63.821917808219176,3.2,205,250,45,37500.0
P0559,PK02,110.8958904109589,4.859999999999999,539,635,96,117475.0
P0560,PK06,2.2617960426179606,5.34,13,16,3,20000.0
P0561,PK03,126.79452054794521,10.42,1322,1502,180,225300.0
P0562,PK03,41.51780821917808,8.219999999999999,342,392,50,58800.0
P0563,PK06,1.0356849315068493,3.2,4,5,1,6250.0
P0564,PK03,49.21095890410959,9.82,484,551,67,82650.0
P0565,PK03,15.816438356164383,9.64,153,175,22,26250.0
P0566,PK03,7.95296803652968,6.08,49,57,8,8550.0
P0567,PK03,95.21232876712328,4.779999999999999,456,538,82,80700.0
P0568,PK03,38.21369863013699,6.82,261,302,41,45300.0
P0569,PK02,66.40753424657534,3.1799999999999997,212,259,47,47915.0
P0570,PK03,10.336643835616439,5.58,58,68,10,10200.0
P0571,PK02,7.383013698630137,5.58,42,49,7,9065.0
P0572,PK06,3.421461187214612,3.64,13,16,3,20000.0
P0574,PK02,55.78150684931507,10.14,566,644,78,119140.0
P0575,PK03,45.323287671232876,6.08,276,321,45,48150.0
P0576,PK03,13.782648401826485,5.58,77,90,13,13500.0
P0577,PK02,3.386986301369863,4.96,17,20,3,3700.0
P0578,PK02,126.57123287671233,4.68,593,700,107,129500.0
P0579,PK03,159.51415525114155,3.02,482,591,109,88650.0
P0580,PK03,54.323287671232876,6.12,333,387,54,58050.0
P0581,PK02,5.24986301369863,5.54,30,35,5,6475.0
P0582,PK03,27.084931506849315,8.219999999999999,223,256,33,38400.0
P0583,PK02,23.498356164383562,4.12,97,116,19,21460.0
P0584,PK02,8.780479452054795,8.219999999999999,73,84,11,15540.0
P0585,PK02,75.66986301369863,7.24,548,632,84,116920.0
P0586,PK03,35.48584474885845,4.54,162,192,30,28800.0
P0588,PK02,27.981369863013697,7.24,203,234,31,43290.0
P0589,PK03,0.5309132420091324,4.54,3,4,1,600.0
P0590,PK03,20.705479452054796,4.9,102,120,18,18000.0
P0591,PK06,13.79269406392694,8.66,120,138,18,172500.0
P0592,PK01,60.11232876712329,9.219999999999999,555,634,79,76080.0
P0593,PK02,34.74611872146119,5.54,193,226,33,41810.0
P0594,PK02,13.824657534246576,4.779999999999999,67,79,12,14615.0
P0595,PK02,57.19634703196348,7.98,457,525,68,97125.0
P0596,PK03,20.735616438356164,3.02,63,78,15,11700.0
P0597,PK03,35.05068493150685,4.9,172,203,31,30450.0
P0598,PK03,13.782648401826485,9.280000000000001,128,146,18,21900.0
P0599,PK03,31.861643835616437,4.9,157,185,28,27750.0
